risk_bonus,threshold,accuracy,precision_spam,recall_spam,f1_spam,macro_f1,weighted_f1,balanced_accuracy,false_positive_rate,true_negative,false_positive,false_negative,true_positive,roc_auc,pr_auc,recall_at_precision_90,recall_at_precision_95,split
0.05,0.25,0.9914285714285714,0.951048951048951,0.9645390070921985,0.9577464788732394,0.9764885017577644,0.9914553457469778,0.9794895194317228,0.005559968228752979,2504.0,14.0,10.0,272.0,0.995441333040407,0.9861576083824675,0.9822695035460993,0.9645390070921985,validation
0.05,0.3,0.9910714285714286,0.9540636042402827,0.9574468085106383,0.9557522123893806,0.9753934845462295,0.9910784433114846,0.9761419904348267,0.005162827640984908,2505.0,13.0,12.0,270.0,0.995441333040407,0.9861576083824675,0.9822695035460993,0.9645390070921985,validation
0.05,0.35,0.9925,0.9711191335740073,0.9539007092198581,0.962432915921288,0.9791335379050994,0.9924701774607432,0.9753617922588568,0.003177124702144559,2510.0,8.0,13.0,269.0,0.995441333040407,0.9861576083824675,0.9822695035460993,0.9645390070921985,validation
0.05,0.4,0.9910714285714286,0.9706959706959707,0.9397163120567376,0.954954954954955,0.9749997767837213,0.991006998786979,0.9682695936772965,0.003177124702144559,2510.0,8.0,17.0,265.0,0.995441333040407,0.9861576083824675,0.9822695035460993,0.9645390070921985,validation
0.05,0.45,0.9914285714285714,0.9777777777777777,0.9361702127659575,0.9565217391304348,0.9758836904843933,0.9913455916370544,0.9668936846196745,0.0023828435266084196,2512.0,6.0,18.0,264.0,0.995441333040407,0.9861576083824675,0.9822695035460993,0.9645390070921985,validation
0.05,0.5,0.9914285714285714,0.9813432835820896,0.9326241134751773,0.9563636363636364,0.9758055805580559,0.9913313617075993,0.9653192052681685,0.0019857029388403494,2513.0,5.0,19.0,263.0,0.995441333040407,0.9861576083824675,0.9822695035460993,0.9645390070921985,validation
0.05,0.55,0.9907142857142858,0.981203007518797,0.925531914893617,0.9525547445255474,0.9737041339413168,0.9905934320604813,0.9617731059773883,0.0019857029388403494,2513.0,5.0,21.0,261.0,0.995441333040407,0.9861576083824675,0.9822695035460993,0.9645390070921985,validation
0.05,0.6,0.9885714285714285,0.9807692307692307,0.9042553191489362,0.940959409594096,0.9673163991426391,0.9883643379392615,0.9511348081050479,0.0019857029388403494,2513.0,5.0,27.0,255.0,0.995441333040407,0.9861576083824675,0.9822695035460993,0.9645390070921985,validation
0.05,0.65,0.9875,0.980544747081712,0.8936170212765957,0.935064935064935,0.9640746528713333,0.987240984662443,0.9458156591688777,0.0019857029388403494,2513.0,5.0,30.0,252.0,0.995441333040407,0.9861576083824675,0.9822695035460993,0.9645390070921985,validation
0.05,0.7,0.9875,0.984313725490196,0.8900709219858156,0.9348230912476723,0.9639550968780333,0.9872190842314217,0.9442411798173717,0.0015885623510722795,2514.0,4.0,31.0,251.0,0.995441333040407,0.9861576083824675,0.9822695035460993,0.9645390070921985,validation
0.05,0.75,0.9864285714285714,0.9841269841269841,0.8794326241134752,0.9288389513108615,0.9606689821694457,0.986087535383658,0.9389220308812014,0.0015885623510722795,2514.0,4.0,34.0,248.0,0.995441333040407,0.9861576083824675,0.9822695035460993,0.9645390070921985,validation
0.05,0.8,0.9857142857142858,0.9879032258064516,0.8687943262411347,0.9245283018867925,0.9583193777678538,0.9853039655071585,0.9338014522389153,0.0011914217633042098,2515.0,3.0,37.0,245.0,0.995441333040407,0.9861576083824675,0.9822695035460993,0.9645390070921985,validation
0.05,0.85,0.9835714285714285,0.987603305785124,0.8475177304964538,0.9122137404580153,0.9515757433574552,0.9830091142442937,0.9231631543665748,0.0011914217633042098,2515.0,3.0,43.0,239.0,0.995441333040407,0.9861576083824675,0.9822695035460993,0.9645390070921985,validation
0.05,0.9,0.9803571428571428,0.9871244635193133,0.8156028368794326,0.8932038834951457,0.941193878817386,0.9795173179390038,0.9072057075580642,0.0011914217633042098,2515.0,3.0,52.0,230.0,0.995441333040407,0.9861576083824675,0.9822695035460993,0.9645390070921985,validation
0.05,0.95,0.98,0.9956140350877193,0.8049645390070922,0.8901960784313725,0.9395970568974151,0.9790472668438692,0.9022836992096621,0.0003971405877680699,2517.0,1.0,55.0,227.0,0.995441333040407,0.9861576083824675,0.9822695035460993,0.9645390070921985,validation
0.05,1.0,0.9782142857142857,0.9955156950672646,0.7872340425531915,0.8792079207920792,0.9336176993558041,0.977067793951693,0.8934184509827117,0.0003971405877680699,2517.0,1.0,60.0,222.0,0.995441333040407,0.9861576083824675,0.9822695035460993,0.9645390070921985,validation
