protocol_id,dataset,model_version,training_scope,precision,recall,threshold
A,main_holdout,v8_semantic_main,main_only,0.11845459894096881,1.0,0.001975932614703439
A,main_holdout,v8_semantic_main,main_only,0.1186873649046964,1.0,0.0020020729768687713
A,main_holdout,v8_semantic_main,main_only,0.11892104745028549,1.0,0.0020411650139451868
A,main_holdout,v8_semantic_main,main_only,0.11915565200236733,1.0,0.002079082984641186
A,main_holdout,v8_semantic_main,main_only,0.11939118402846412,1.0,0.002094715508242211
A,main_holdout,v8_semantic_main,main_only,0.11962764903941374,1.0,0.002122803881646893
A,main_holdout,v8_semantic_main,main_only,0.11986505258979957,1.0,0.0021435794687925573
A,main_holdout,v8_semantic_main,main_only,0.12010340027838537,1.0,0.0021647717285248284
A,main_holdout,v8_semantic_main,main_only,0.1203426977485555,1.0,0.002189946952785884
A,main_holdout,v8_semantic_main,main_only,0.12058295068876024,1.0,0.0022233702346874354
A,main_holdout,v8_semantic_main,main_only,0.1208241648329666,1.0,0.0022498122720011502
A,main_holdout,v8_semantic_main,main_only,0.12106634596111446,1.0,0.002276238842357931
A,main_holdout,v8_semantic_main,main_only,0.12130949989957823,1.0,0.0022971128907970408
A,main_holdout,v8_semantic_main,main_only,0.12155363252163413,1.0,0.002329774295577934
A,main_holdout,v8_semantic_main,main_only,0.12179874974793305,1.0,0.002355139276676835
A,main_holdout,v8_semantic_main,main_only,0.12204485754697919,1.0,0.0023748438632631105
A,main_holdout,v8_semantic_main,main_only,0.1222919619356145,1.0,0.002412883981803309
A,main_holdout,v8_semantic_main,main_only,0.12254006897950903,1.0,0.002468431782564533
A,main_holdout,v8_semantic_main,main_only,0.12278918479365725,1.0,0.0024872522337506097
A,main_holdout,v8_semantic_main,main_only,0.12303931554288042,1.0,0.0025078768730740063
A,main_holdout,v8_semantic_main,main_only,0.12329046744233517,1.0,0.0025345993444848476
A,main_holdout,v8_semantic_main,main_only,0.12354264675802823,1.0,0.0025634675730249207
A,main_holdout,v8_semantic_main,main_only,0.12379585980733757,1.0,0.0025866835812312465
A,main_holdout,v8_semantic_main,main_only,0.12405011295953995,1.0,0.0026133025531878285
A,main_holdout,v8_semantic_main,main_only,0.12430541263634493,1.0,0.0026534241689749353
A,main_holdout,v8_semantic_main,main_only,0.12456176531243555,1.0,0.002687781809344619
A,main_holdout,v8_semantic_main,main_only,0.1248191775160157,1.0,0.0027157740654385125
A,main_holdout,v8_semantic_main,main_only,0.12507765582936425,1.0,0.0027482502653215354
A,main_holdout,v8_semantic_main,main_only,0.12533720688939615,1.0,0.0027793415380031653
A,main_holdout,v8_semantic_main,main_only,0.1255978373882304,1.0,0.0027982664171136437
A,main_holdout,v8_semantic_main,main_only,0.12588578574406004,1.0,0.0028194027816834076
A,main_holdout,v8_semantic_main,main_only,0.1261487050960735,1.0,0.0028470412412267897
A,main_holdout,v8_semantic_main,main_only,0.12641272498953537,1.0,0.002874820679261224
A,main_holdout,v8_semantic_main,main_only,0.1266778523489933,1.0,0.0028985362958916724
A,main_holdout,v8_semantic_main,main_only,0.12694409415720892,1.0,0.0029313979560906755
A,main_holdout,v8_semantic_main,main_only,0.12721145745577084,1.0,0.002965233239567543
