protocol_id,dataset,model_version,training_scope,risk_bonus,threshold,accuracy,precision_spam,recall_spam,f1_spam,macro_f1,weighted_f1,balanced_accuracy,false_positive_rate,true_negative,false_positive,false_negative,true_positive,roc_auc,pr_auc,recall_at_precision_90,recall_at_precision_95
C,hf_chinese_spam_10000_holdout,v8_semantic_multisource,main_plus_external_adapt,0.0,0.5,0.8429372036212099,0.8256731030731574,0.8704128440366973,0.8474528960223308,0.8427994526017177,0.8428108204042972,0.8428699195694866,0.184673004897724,2830.0,641.0,452.0,3036.0,0.9196884688731535,0.9249558848758535,0.7895642201834863,0.676605504587156
C,hf_chinese_spam_10000_holdout,v8_semantic_multisource,main_plus_external_adapt,0.0,0.55,0.849978445178905,0.8489434608794975,0.8523509174311926,0.8506437768240344,0.8499754680886915,0.8499771006865506,0.8499726353217617,0.15240564678766927,2942.0,529.0,515.0,2973.0,0.9196884688731535,0.9249558848758535,0.7895642201834863,0.676605504587156
C,hf_chinese_spam_10000_holdout,v8_semantic_multisource,main_plus_external_adapt,0.0,0.6,0.8515591320592039,0.8663085646075799,0.8322821100917431,0.8489545255154263,0.8515149799494068,0.8515087250671856,0.8516063388257621,0.12906943244021896,3023.0,448.0,585.0,2903.0,0.9196884688731535,0.9249558848758535,0.7895642201834863,0.676605504587156
C,hf_chinese_spam_10000_holdout,v8_semantic_multisource,main_plus_external_adapt,0.0,0.65,0.8525650237103032,0.8851689612015019,0.8110665137614679,0.8464991023339318,0.8523344281368304,0.8523201731377429,0.8526666478343496,0.10573321809276866,3104.0,367.0,659.0,2829.0,0.9196884688731535,0.9249558848758535,0.7895642201834863,0.676605504587156
C,hf_chinese_spam_10000_holdout,v8_semantic_multisource,main_plus_external_adapt,0.0,0.7,0.8504095416008047,0.9036621577037282,0.7852637614678899,0.8403129314312011,0.8498091214798931,0.8497859234297669,0.850569074626195,0.08412561221549986,3179.0,292.0,749.0,2739.0,0.9196884688731535,0.9249558848758535,0.7895642201834863,0.676605504587156
C,hf_chinese_spam_10000_holdout,v8_semantic_multisource,main_plus_external_adapt,0.0,0.75,0.8459548785745078,0.9247538677918424,0.7540137614678899,0.8307012002526848,0.8446941276770938,0.8446599446384079,0.8461800296823748,0.061653702103140307,3257.0,214.0,858.0,2630.0,0.9196884688731535,0.9249558848758535,0.7895642201834863,0.676605504587156
C,hf_chinese_spam_10000_holdout,v8_semantic_multisource,main_plus_external_adapt,0.0,0.8,0.8291421181204196,0.9457153935633966,0.6992545871559633,0.8040217570463162,0.8262880406681078,0.8262336468153171,0.8294601947591975,0.040334197637568424,3331.0,140.0,1049.0,2439.0,0.9196884688731535,0.9249558848758535,0.7895642201834863,0.676605504587156
C,hf_chinese_spam_10000_holdout,v8_semantic_multisource,main_plus_external_adapt,0.0,0.85,0.8015519471188389,0.9610503282275711,0.6295871559633027,0.7607829551359778,0.7956155414108372,0.7955304495920886,0.8019730651611385,0.02564102564102564,3382.0,89.0,1292.0,2196.0,0.9196884688731535,0.9249558848758535,0.7895642201834863,0.676605504587156
C,hf_chinese_spam_10000_holdout,v8_semantic_multisource,main_plus_external_adapt,0.0,0.9,0.7469464003448771,0.9705722070844687,0.5106077981651376,0.6691715198196506,0.7321424789325129,0.731988648453289,0.747525160966752,0.015557476231633534,3417.0,54.0,1707.0,1781.0,0.9196884688731535,0.9249558848758535,0.7895642201834863,0.676605504587156
C,hf_chinese_spam_10000_holdout,v8_semantic_multisource,main_plus_external_adapt,0.0,0.95,0.6480816209225464,0.9814643188137164,0.3036123853211009,0.463761769213926,0.6009323229558027,0.6005972317913233,0.6489251785435812,0.005762028233938346,3451.0,20.0,2429.0,1059.0,0.9196884688731535,0.9249558848758535,0.7895642201834863,0.676605504587156
C,hf_chinese_spam_10000_holdout,v8_semantic_multisource,main_plus_external_adapt,0.0,1.0,0.49877856013795085,0.0,0.0,0.0,0.33279002876318314,0.3319770627495355,0.5,0.0,3471.0,0.0,3488.0,0.0,0.9196884688731535,0.9249558848758535,0.7895642201834863,0.676605504587156
B,hf_chinese_conversation_spam_holdout,v8_semantic_main,main_only,0.0,-0.2,0.39800443458980045,0.39800443458980045,1.0,0.5693893735130848,0.2846946867565424,0.226619495666516,0.5,1.0,0.0,3258.0,0.0,2154.0,0.8998583160485467,0.8836837860907293,0.6499535747446611,0.552924791086351
B,hf_chinese_conversation_spam_holdout,v8_semantic_main,main_only,0.0,-0.15,0.39800443458980045,0.39800443458980045,1.0,0.5693893735130848,0.2846946867565424,0.226619495666516,0.5,1.0,0.0,3258.0,0.0,2154.0,0.8998583160485467,0.8836837860907293,0.6499535747446611,0.552924791086351
B,hf_chinese_conversation_spam_holdout,v8_semantic_main,main_only,0.0,-0.1,0.39800443458980045,0.39800443458980045,1.0,0.5693893735130848,0.2846946867565424,0.226619495666516,0.5,1.0,0.0,3258.0,0.0,2154.0,0.8998583160485467,0.8836837860907293,0.6499535747446611,0.552924791086351
B,hf_chinese_conversation_spam_holdout,v8_semantic_main,main_only,0.0,-0.05,0.39800443458980045,0.39800443458980045,1.0,0.5693893735130848,0.2846946867565424,0.226619495666516,0.5,1.0,0.0,3258.0,0.0,2154.0,0.8998583160485467,0.8836837860907293,0.6499535747446611,0.552924791086351
B,hf_chinese_conversation_spam_holdout,v8_semantic_main,main_only,0.0,0.0,0.39800443458980045,0.39800443458980045,1.0,0.5693893735130848,0.2846946867565424,0.226619495666516,0.5,1.0,0.0,3258.0,0.0,2154.0,0.8998583160485467,0.8836837860907293,0.6499535747446611,0.552924791086351
B,hf_chinese_conversation_spam_holdout,v8_semantic_main,main_only,0.0,0.05,0.7505543237250555,0.6305194805194805,0.9015784586815228,0.7420710737485671,0.7502841951927093,0.7519595991236651,0.7761422066274404,0.3492940454266421,2120.0,1138.0,212.0,1942.0,0.8998583160485467,0.8836837860907293,0.6499535747446611,0.552924791086351
B,hf_chinese_conversation_spam_holdout,v8_semantic_main,main_only,0.0,0.1,0.807280118255728,0.7259048393655958,0.8286908077994429,0.7738998482549317,0.8029859891733522,0.8089193039505023,0.8109077120642396,0.20687538367096378,2584.0,674.0,369.0,1785.0,0.8998583160485467,0.8836837860907293,0.6499535747446611,0.552924791086351
B,hf_chinese_conversation_spam_holdout,v8_semantic_main,main_only,0.0,0.15,0.8244641537324464,0.7842304060434372,0.7711234911792015,0.7776217228464419,0.8163139139262734,0.8242067777385672,0.8154266934103497,0.14027010435850215,2801.0,457.0,493.0,1661.0,0.8998583160485467,0.8836837860907293,0.6499535747446611,0.552924791086351
